id,campaignId,branchId,targetValue
d4d75082-ebae-4bc4-8328-90c3c25b091d,aa4c8169-0742-4d80-813a-d14fbb5133bd,ef2372ab-02d3-4344-9934-88bbecdf7881,8928
954ff07a-f11b-43b2-b256-2832786282d7,aa4c8169-0742-4d80-813a-d14fbb5133bd,fce29462-4317-4544-9cb3-ff8238bc6530,8928
0abe4920-f36b-4f2e-9b87-e117a059cf90,aa4c8169-0742-4d80-813a-d14fbb5133bd,58084a27-cf9f-4d44-b070-dcb27c3a6f02,8928
05aa328b-d2e8-457d-ae82-70a820db22f7,aa4c8169-0742-4d80-813a-d14fbb5133bd,9a4b2029-c405-49ee-b827-b40a4203bd22,8928
52ae8e28-b736-4299-b494-c77591d9150d,aa4c8169-0742-4d80-813a-d14fbb5133bd,9aeb3132-f278-431b-9d09-f3bba3145613,8928
62ce9bc5-684f-41a3-9e69-ab76769f83b5,aa4c8169-0742-4d80-813a-d14fbb5133bd,67cfac59-6594-49cf-bfaf-6824497c72e2,8928
dd73347f-9947-453d-9211-1c13b7c91ead,aa4c8169-0742-4d80-813a-d14fbb5133bd,62594348-3833-411b-8fed-81b2245d29c2,8928
1bd3a8e7-8759-4f75-b3be-0c7df7352031,aa4c8169-0742-4d80-813a-d14fbb5133bd,b3edd721-3b6b-4b9f-a98d-aacf668d2ee1,8928
9f54051a-7f3a-4652-92e0-196ea5c2fe41,aa4c8169-0742-4d80-813a-d14fbb5133bd,d865afb7-ff85-4c9b-bfd7-9a32f4664e34,8928
94d15bf2-5d13-413e-b551-af09d457bc69,aa4c8169-0742-4d80-813a-d14fbb5133bd,3363b2e6-6116-45f0-9e9d-d9ffd99c3f24,8960
